tag,stemtag,sp,quadrat,biannual,cored,year.cored,dbh2008,dbh2013,dbh2018,crown.position
100562,1,litu ,1004,1,0,NA,608,628.2,,
100612,1,litu ,1003,1,0,NA,1173.2,1200.9,,
100680,1,cagl,1004,0,1,2010-2011,277.8,280.9,,
100720,2,litu ,1004,1,0,NA,319.1,323.8,,
100754,1,quru ,1005,1,0,NA,411.7,430.2,,
100771,1,quru,1005,1,1,2010-2011,876.5,921.1,,
100905,1,litu ,1008,1,0,NA,640.5,659.4,,
100906,1,litu ,1008,1,0,NA,488.9,497,,
100942,1,qupr,1009,0,1,2010-2011,274.7,277.3,,
100956,1,fagr,1010,0,1,2010-2011,158,150.4,,
100960,1,quru ,1010,1,0,NA,514,563.5,,
100961,1,cagl,1010,0,1,2010-2011,224.5,230.6,,
100963,1,caovl,1010,0,1,2010-2011,182.4,192.6,,
100974,1,cagl,1011,0,1,2010-2011,168.5,176.9,,
100990,1,qual,1011,0,1,2010-2011,613.1,639.5,,
100997,1,litu,1012,0,1,2010-2011,123.6,123.1,,
101075,1,qupr,1008,0,1,2010-2011,352.1,360.2,,
101082,1,litu ,1009,1,0,NA,798.9,814.1,,
101100,1,fagr,1010,0,1,2010-2011,154.8,168.4,,
101111,1,litu ,1011,1,0,NA,95.2,96.2,,
101118,1,litu ,1011,1,0,NA,173.1,190.7,,
101121,1,qupr,1011,0,1,2010-2011,112.2,119.1,,
101123,1,quve,1012,0,1,2010-2011,377.3,386.4,,
101136,1,quru,1012,0,1,2010-2011,179.8,203.6,,
101150,1,fagr,1013,0,1,2010-2011,115.8,129.8,,
101159,1,cagl,1013,0,1,2010-2011,223.8,229,,
101212,1,qual,1012,0,1,2010-2011,694.3,716.2,,
101215,1,quve,1013,0,1,2010-2011,751,769.2,,
101244,1,quve ,1014,1,0,NA,808.2,815.3,,
101292,1,fram,1016,0,1,2010-2011,550,565.5,,
101310,1,fram ,1016,1,0,NA,476.5,490.1,,
101312,1,fram ,1016,1,0,NA,368.5,377,,
102148,1,cato ,1019,1,0,NA,252.8,251.2,,
